epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.5839,1.51685,6.18444,1.22284,0.06509,0.06652,0.04033,0.02281,1.46183,3.97383,1.17025,0.000474353,0.000158118,0.000474353,0.000158118,0.000474353,0.000158118,0.000474353,0.000158118
2,130.631,1.38005,3.42516,1.17841,0.60683,0.18848,0.1907,0.11882,1.35007,2.45809,1.13219,0.000940944,0.000313648,0.000940944,0.000313648,0.000940944,0.000313648,0.000940944,0.000313648
3,185.929,1.29308,2.40323,1.13732,0.75362,0.29263,0.37615,0.25464,1.26345,1.78693,1.08478,0.00139811,0.000466037,0.00139811,0.000466037,0.00139811,0.000466037,0.00139811,0.000466037
4,240.523,1.1944,1.80032,1.08924,0.66316,0.44739,0.53251,0.3574,1.20113,1.41156,1.05911,0.00138559,0.000461863,0.00138559,0.000461863,0.00138559,0.000461863,0.00138559,0.000461863
5,293.556,1.13981,1.42952,1.06011,0.6918,0.53362,0.63172,0.42329,1.15485,1.17634,1.02985,0.00137145,0.00045715,0.00137145,0.00045715,0.00137145,0.00045715,0.00137145,0.00045715
6,348.014,1.12443,1.25151,1.03858,0.71816,0.62611,0.68775,0.46308,1.13897,1.06,1.01002,0.00135731,0.000452438,0.00135731,0.000452438,0.00135731,0.000452438,0.00135731,0.000452438
7,402.867,1.10481,1.11447,1.02583,0.77147,0.63833,0.71931,0.49416,1.09441,0.98013,0.99576,0.00134318,0.000447726,0.00134318,0.000447726,0.00134318,0.000447726,0.00134318,0.000447726
8,457.405,1.05964,0.97162,0.99852,0.80515,0.67591,0.75192,0.52478,1.06604,0.90211,0.98448,0.00132904,0.000443013,0.00132904,0.000443013,0.00132904,0.000443013,0.00132904,0.000443013
9,511.771,1.03926,0.92676,0.99533,0.85002,0.64214,0.76955,0.54446,1.07239,0.89413,0.98133,0.0013149,0.000438301,0.0013149,0.000438301,0.0013149,0.000438301,0.0013149,0.000438301
10,565.23,1.01876,0.86772,0.98743,0.8185,0.70726,0.77328,0.5501,1.05526,0.85909,0.97502,0.00130077,0.000433588,0.00130077,0.000433588,0.00130077,0.000433588,0.00130077,0.000433588
11,619.622,1.02677,0.83189,0.98975,0.8316,0.71483,0.7916,0.56456,1.03841,0.81931,0.97565,0.00128663,0.000428876,0.00128663,0.000428876,0.00128663,0.000428876,0.00128663,0.000428876
12,674.381,1.00204,0.78848,0.9763,0.85695,0.71043,0.80046,0.57014,1.04465,0.80442,0.97457,0.00127249,0.000424164,0.00127249,0.000424164,0.00127249,0.000424164,0.00127249,0.000424164
13,729.254,0.98419,0.76455,0.96681,0.88587,0.72128,0.79873,0.57462,1.02749,0.79178,0.96487,0.00125835,0.000419451,0.00125835,0.000419451,0.00125835,0.000419451,0.00125835,0.000419451
